station_id,latitude,longitude,state,PM2,So2,PM10,RAIN,RH,WDD,WDS,Temp,O3
8,4.530213886,-74.14221714,ACT,22.31,14.76,,,,,,,
18,4.940316,-73.970698,ACT,17.35,,30.94,0.01,72.83,137.04,1.09,,
20,5.2,-73.883,ACT,14.18,20.16,23.78,0.12,76.19,127.97,1.55,,
4,4.596229,-74.194715,ACT,20.77,36.89,64.06,0.09,64.9,81.64,2.23,16.58,
6,4.695702,-74.215583,ACT,,,,,,,,,
17,4.862871,-74.056341,ACT,,14.74,26.07,0.09,19.51,,,0.02,
16,4.298055,-74.8191667,ACT,,,,,,,,,
23,4.594991,-74.204826,ACT,10.97,,30.04,0.05,,189.67,1.92,15.29,
14,4.716524889,-74.21171239,ACT,25.28,7.16,35.87,0.09,66.45,204.74,1.51,15.49,
22,4.809444,-74.1025,ACT,50.06,19.2,,0.1,64.18,146.46,2.04,15.76,
3,4.584585267,-74.21987793,ACT,25.96,3.99,62.44,0.08,66.48,199.55,2.15,15.4,
10,5.010012989,-74.00274345,ACT,10.37,36.52,20.18,,,,,,
7,4.719539118,-73.96873782,ACT,11.86,16.55,17.87,0.12,73.77,129.4,1.73,,32.58
19,4.721387,-74.23661,ACT,,,,,,,,,
12,5.054945,-73.976986,ACT,23.61,6.13,41.46,0.0,67.36,167.14,3.79,,
9,5.06615,-73.8781,ACT,11.42,8.43,22.44,,,,,,
13,4.939167,-74.010833,ACT,,,,,,,,,
2,4.733274,-74.266156,ACT,18.05,3.94,29.38,0.09,72.01,187.13,3.04,,5.52
1,5.129058937,-73.89588519,ACT,,,,,,,,,
15,4.97639,-73.970698,ACT,,11.46,32.82,8.92,74.06,124.71,1.32,,
21,5.537028,-73.635303,ACT,15.76,,38.26,,,,,,
11,5.540477,-73.632574,ACT,22.76,,44.09,0.01,,193.04,1.13,19.11,
5,4.525166711,-74.2435349,ACT,,9.28,35.63,0.67,77.31,181.68,5.9,,
