station,O3,PM10,PM2,So2
2,5.520812379445096,29.383785621021023,18.04575258603541,3.9372588329888387
3,,62.44137818492633,25.957299741880664,3.9853365152445717
4,,64.06225068018233,20.76924338666347,36.88925955254332
5,,35.631768953068594,,9.276388978092196
7,32.582481253192846,17.86671288878049,11.856707926823358,16.552121835584263
8,,,22.305003567927443,14.7562627358804
9,,22.43982276590449,11.423044587292594,8.430146336505922
10,,20.17625858988764,10.365017944049734,36.52240400086505
11,,44.08833485936286,22.762295725718726,
12,,41.46170907216495,23.613597120481927,6.128708553608248
14,,35.86957783537766,25.278242325246396,7.160977491285627
15,,32.817608951963905,,11.458111894780792
17,,26.07447739208883,,14.735600573907009
18,,30.940710513682188,17.351769331585846,
20,,23.779239349147122,14.184011998400853,20.159184867614268
21,,38.261351023454154,15.757086319829424,
22,,,50.05587109453599,19.19965225403226
23,,30.035617680180177,10.965754568981065,
